redis-1     | Starting Redis Server
postgres-1  | 2026-08-08 14:06:35.243 UTC [672] DETAIL:  Process 672 waits for ShareLock on transaction 1795; blocked by process 673.
postgres-1  | 	Process 673 waits for ShareLock on transaction 1794; blocked by process 672.
postgres-1  | 	Process 672: INSERT INTO audit_events (id, tenant_id, actor_id, action, resource_type, resource_id, metadata_json) VALUES ($1::UUID, $2::UUID, $3::VARCHAR, $4::VARCHAR, $5::VARCHAR, $6::UUID, $7::JSONB) RETURNING audit_events.created_at
postgres-1  | 	Process 673: INSERT INTO progress_event_outbox (id, tenant_id, run_id, event_type, payload_json, occurred_at, available_at, attempt_count, lease_owner, lease_expires_at, published_at, last_error_code) VALUES ($1::UUID, $2::UUID, $3::UUID, $4::VARCHAR, $5::JSONB, $6::TIMESTAMP WITH TIME ZONE, $7::TIMESTAMP WITH TIME ZONE, $8::INTEGER, $9::VARCHAR, $10::TIMESTAMP WITH TIME ZONE, $11::TIMESTAMP WITH TIME ZONE, $12::VARCHAR) RETURNING progress_event_outbox.created_at
postgres-1  | 2026-08-08 14:06:35.243 UTC [672] HINT:  See server log for query details.
postgres-1  | 2026-08-08 14:06:35.243 UTC [672] CONTEXT:  while locking tuple (0,235) in relation "tenants"
postgres-1  | 	SQL statement "SELECT 1 FROM ONLY "public"."tenants" x WHERE "id" OPERATOR(pg_catalog.=) $1 FOR KEY SHARE OF x"
postgres-1  | 2026-08-08 14:06:35.243 UTC [672] STATEMENT:  INSERT INTO audit_events (id, tenant_id, actor_id, action, resource_type, resource_id, metadata_json) VALUES ($1::UUID, $2::UUID, $3::VARCHAR, $4::VARCHAR, $5::VARCHAR, $6::UUID, $7::JSONB) RETURNING audit_events.created_at
postgres-1  | 2026-08-08 14:06:36.259 UTC [685] ERROR:  deadlock detected
postgres-1  | 2026-08-08 14:06:36.259 UTC [685] DETAIL:  Process 685 waits for ShareLock on transaction 1797; blocked by process 686.
postgres-1  | 	Process 686 waits for ShareLock on transaction 1796; blocked by process 685.
postgres-1  | 	Process 685: DELETE FROM tenants WHERE id = ANY($1::uuid[])
postgres-1  | 	Process 686: INSERT INTO audit_events (id, tenant_id, actor_id, action, resource_type, resource_id, metadata_json) VALUES ($1::UUID, $2::UUID, $3::VARCHAR, $4::VARCHAR, $5::VARCHAR, $6::UUID, $7::JSONB) RETURNING audit_events.created_at
postgres-1  | 2026-08-08 14:06:36.259 UTC [685] HINT:  See server log for query details.
postgres-1  | 2026-08-08 14:06:36.259 UTC [685] CONTEXT:  while deleting tuple (0,8) in relation "evaluation_runs"
postgres-1  | 	SQL statement "DELETE FROM ONLY "public"."evaluation_runs" WHERE $1 OPERATOR(pg_catalog.=) "tenant_id""
postgres-1  | 2026-08-08 14:06:36.259 UTC [685] STATEMENT:  DELETE FROM tenants WHERE id = ANY($1::uuid[])
postgres-1  | 2026-08-08 14:06:36.262 UTC [686] ERROR:  canceling statement due to user request
postgres-1  | 2026-08-08 14:06:36.262 UTC [686] CONTEXT:  SQL statement "SELECT 1 FROM ONLY "public"."evaluation_jobs" x WHERE "id" OPERATOR(pg_catalog.=) $1 AND "run_id" OPERATOR(pg_catalog.=) $2 FOR KEY SHARE OF x"
postgres-1  | 2026-08-08 14:06:36.262 UTC [686] STATEMENT:  INSERT INTO case_results (id, job_id, run_id, tenant_id, case_id, answer_json, evidence_json, metrics_json, input_tokens, output_tokens, latency_ms, created_at) VALUES ($1::UUID, $2::UUID, $3::UUID, $4::UUID, $5::VARCHAR, $6::JSONB, $7::JSONB, $8::JSONB, $9::INTEGER, $10::INTEGER, $11::INTEGER, $12::TIMESTAMP WITH TIME ZONE)
